,a,al,am,b,c
115,0.010240160435838863,0.01,0.06,0.010240710024767733,0.010292951581144209
116,0.020380084764248463,0.02,0.06,0.020377878929772834,0.020590624143695342
117,0.030027944474537493,0.03,0.06,0.030020909267674187,0.03048801663632471
118,0.03984364991291378,0.04,0.06,0.03983770713811879,0.040659143107218146
119,0.049871347119322285,0.05,0.06,0.04985483504209109,0.05115787947164017
120,0.06048626136875901,0.06,0.06,0.06046695690836101,0.06239283689201292
121,0.0700635751365698,0.07,0.06,0.07000358668734548,0.07263905553341453
122,0.08008279647943473,0.08,0.06,0.08004469664748941,0.0834716091622483
123,0.09132792342494733,0.09,0.06,0.09128060344259112,0.09577100173388439
124,0.1000832641337811,0.1,0.06,0.10003649254952143,0.10545303564186927
125,0.19897308360999566,0.2,0.06,0.19875942353302647,0.22186072899521067
126,0.3029460389586771,0.30000000000000004,0.06,0.3025423275438165,0.3608924522207153
127,0.40018609757921886,0.4,0.06,0.39896074720831637,0.5111358345083995
128,0.4967035571206996,0.5,0.06,0.4953192701668833,0.6865759328200687
129,0.5989721865953495,0.6000000000000001,0.06,0.5973763489779286,0.9137244939695213
130,0.7001595491589753,0.7000000000000001,0.06,0.6974180912181761,1.2045047763278716
131,0.7989377145816652,0.8,0.06,0.7955322434610611,1.604140541222082
132,0.8994678425979664,0.9,0.06,0.8959316834333299,2.2972776285142293
133,0.0,0.0,0.07,0.0,0.0
134,0.010252358826452701,0.01,0.07,0.010252257551684806,0.010305276253551604
135,0.019666273703349835,0.02,0.07,0.019658279252520505,0.019862228249698046
136,0.030006225444297763,0.03,0.07,0.030004316376526716,0.030465625489115977
137,0.039664272857679816,0.04,0.07,0.03965539258965089,0.04047233988331282
138,0.05037321764725855,0.05,0.07,0.05035639041599229,0.05168623225885006
139,0.060148658581151704,0.06,0.07,0.06012911996584823,0.06203356365146752
140,0.07029828211673261,0.07,0.07,0.07025757227789485,0.07289147773966406
141,0.08102876613620391,0.08,0.07,0.0810278213563595,0.08450045867914403
142,0.08964406783056644,0.09,0.07,0.08957938445803272,0.09391962169217798
143,0.09888730068696505,0.1,0.07,0.09882648020764649,0.1041249467175639
144,0.1990493767636935,0.2,0.07,0.198802595023088,0.22195597771358327
145,0.2999368113186667,0.30000000000000004,0.07,0.29929491062775004,0.35658467846802067
146,0.3990134137641108,0.4,0.07,0.3979699420102629,0.5091826637710632
147,0.49798620142508276,0.5,0.07,0.496708656698991,0.6891276724671437
148,0.5986121521333218,0.6000000000000001,0.07,0.5966842139696317,0.9128271174511763
149,0.6989630521937149,0.7000000000000001,0.07,0.696006363195807,1.2005222715794552
150,0.7995551628826975,0.8,0.07,0.7962403446018704,1.6072161966867733
151,0.9009067713556527,0.9,0.07,0.8976784043764803,2.3116941684938395
152,0.0,0.0,0.08,0.0,0.0
153,0.01014206542437901,0.01,0.08,0.010141091077924031,0.01019384657933877
154,0.0199747791953927,0.02,0.08,0.019971493439170457,0.02017697213376673
155,0.030413336118093937,0.03,0.08,0.03040489856436464,0.03088541800888668
156,0.040914355622218235,0.04,0.08,0.040903198825663706,0.04177490216571189
157,0.05006563097223382,0.05,0.08,0.05003842249122836,0.05136238200797551
158,0.06088927335493011,0.06,0.08,0.06085762105540993,0.06282188697605316
159,0.06991453135325387,0.07,0.08,0.069890320600148,0.07247879528684971
160,0.07990829708365221,0.08,0.08,0.07984726320674079,0.08328193682349462
161,0.08899957126237679,0.09,0.08,0.08896244754952994,0.09321191109921236
162,0.10050813989580965,0.1,0.08,0.10042291469509246,0.1059252749885923
163,0.19875329930416696,0.2,0.08,0.19831583169410394,0.22158638845204326
164,0.2978989436102708,0.30000000000000004,0.08,0.29714697147692015,0.35367793034572426
165,0.401539124914167,0.4,0.08,0.4004476693464377,0.5133941277402533
166,0.49986895484372884,0.5,0.08,0.4981792852924289,0.692885124587069
167,0.6015133738896653,0.6000000000000001,0.08,0.5990501528236221,0.9200813418913605
168,0.7008252292216051,0.7000000000000001,0.08,0.6978197926533393,1.2067273587018594
169,0.8026845615777864,0.8,0.08,0.7984364600375943,1.6229516205494687
170,0.8995521647131716,0.9,0.08,0.895175202039649,2.2981167381094147
171,0.0,0.0,0.09,0.0,0.0
172,0.010012288252822743,0.01,0.09,0.010012099125852568,0.010062748307124272
173,0.01948870991839513,0.02,0.09,0.01948869610056936,0.019681118795399664
